Postcode District,All usual residents,Males,Females
HA4,50175,24482,25693
HA5,44985,21705,23280
HA6,21984,10546,11438
HA7,37197,17999,19198
HA8,66378,32374,34004
HA9,47845,24557,23288
HD1,22962,12166,10796
HD2,29503,14468,15035
HD3,29289,14179,15110
HD4,30275,14874,15401
HD5,31056,15119,15937
HD6,27344,13436,13908
HD7,22676,11212,11464
HD8,34320,16927,17393
HD9,35389,17392,17997
HG1,34201,16755,17446
HG2,33473,15853,17620
HG3,26400,12936,13464
HG4,25852,12845,13007
HG5,18417,8964,9453
HP1,24413,11983,12430
HP10,18965,9182,9783
HP11,13505,6572,6933
HP12,22822,11510,11312
HP13,43059,21506,21553
HP14,17723,8841,8882
HP15,17428,8437,8991
HP16,11846,5738,6108
HP17,10044,4875,5169
HP18,13522,6890,6632
HP19,23757,11749,12008
HP2,38432,18830,19602
HP20,14908,7567,7341
HP21,33355,16507,16848
HP22,24698,11945,12753
HP23,17459,8461,8998
HP27,12211,5883,6328
HP3,32094,16207,15887
HP4,23973,11661,12312
HP5,25390,12575,12815
HP6,14150,6815,7335
HP7,10625,5179,5446
HP8,6819,3306,3513
HP9,17153,8318,8835
HR1,31885,15658,16227
HR2,39121,19363,19758
HR3,7756,3820,3936
HR4,30339,15105,15234
HR5,4670,2255,2415
HR6,20493,10040,10453
HR7,7155,3534,3621
HR8,14015,6849,7166
HR9,21059,10268,10791
HU1,3294,1997,1297
HU10,19057,9217,9840
HU11,11858,5839,6019
HU12,25596,12602,12994
HU13,15000,7222,7778
HU14,8278,4073,4205
HU15,24147,12154,11993
HU16,16466,7897,8569
HU17,43499,21061,22438
HU18,8774,4234,4540
HU19,7135,3558,3577
HU2,4017,2214,1803
HU20,1015,478,537
HU3,27335,14425,12910
HU4,23208,11268,11940
HU5,51064,25772,25292
HU6,33975,16760,17215
HU7,42282,20710,21572
HU8,34815,17085,17730
HU9,42408,21104,21304
HX1,24131,12177,11954
HX2,35876,17363,18513
HX3,45943,22415,23528
HX4,12176,5934,6242
HX5,10261,4948,5313
HX6,18688,9187,9501
HX7,13303,6384,6919
IG1,64550,32854,31696
IG10,31527,15213,16314
IG11,53359,26882,26477
IG2,28968,14379,14589
IG3,36068,18346,17722
IG4,8912,4438,4474
IG5,17014,8316,8698
IG6,26769,12903,13866
IG7,20397,9770,10627
IG8,35245,17153,18092
IG9,12885,6162,6723
IP1,39543,19978,19565
IP10,3058,1530,1528
IP11,29296,14135,15161
IP12,24397,12138,12259
IP13,18132,8863,9269
IP14,39003,19139,19864
IP15,2466,1115,1351
IP16,6546,3166,3380
IP17,10784,5199,5585
IP18,4060,1840,2220
IP19,10281,5006,5275
IP2,31133,15429,15704
IP20,7792,3791,4001
IP21,11220,5599,5621
IP22,21876,10691,11185
IP23,7010,3431,3579
IP24,27825,13811,14014
IP25,18213,9315,8898
IP26,8945,4438,4507
IP27,19013,9741,9272
IP28,24498,12299,12199
IP29,9017,4430,4587
IP3,34573,17099,17474
IP30,13574,6702,6872
IP31,21299,10830,10469
IP32,17091,8481,8610
IP33,24205,11813,12392
IP4,36366,17987,18379
IP5,19649,9621,10028
IP6,16179,7965,8214
IP7,16621,8530,8091
IP8,10920,5391,5529
IP9,11349,5577,5772
KT1,23898,11771,12127
KT10,20893,10168,10725
KT11,14980,7268,7712
KT12,36834,17790,19044
KT13,21292,10393,10899
KT14,13350,6444,6906
KT15,27373,13368,14005
KT16,18462,9098,9364
KT17,23302,11351,11951
KT18,17445,8266,9179
KT19,34098,16667,17431
KT2,30450,14881,15569
KT20,20559,10009,10550
KT21,13726,6592,7134
KT22,24154,11978,12176
KT23,10694,5076,5618
KT24,9515,4551,4964
KT3,38508,18712,19796
KT4,28910,14158,14752
KT5,20419,10143,10276
KT6,31422,15426,15996
KT7,10365,4994,5371
KT8,19646,9486,10160
KT9,21369,10369,11000
L1,7074,3944,3130
L10,15093,7257,7836
L11,25226,11643,13583
L12,31797,15224,16573
L13,30565,15025,15540
L14,25142,11657,13485
L15,30009,15039,14970
L16,15115,7185,7930
L17,24159,12144,12015
L18,28413,13774,14639
L19,23729,11595,12134
L2,566,334,232
L20,31565,15306,16259
L21,25556,12237,13319
L22,13793,6827,6966
L23,30221,14281,15940
L24,15964,7517,8447
L25,33447,16076,17371
L26,15150,7361,7789
L27,6427,2924,3503
L28,6274,2973,3301
L29,404,192,212
L3,17830,9565,8265
L30,19872,9327,10545
L31,30801,14985,15816
L32,20447,9613,10834
L33,16939,7838,9101
L34,12015,5852,6163
L35,31064,15063,16001
L36,39929,18784,21145
L37,23542,11248,12294
L38,2579,1253,1326
L39,28676,13690,14986
L4,40268,19519,20749
L40,18033,8912,9121
L5,12448,6154,6294
L6,23727,12120,11607
L7,18006,9252,8754
L8,32577,16980,15597
L9,32637,16954,15683
LA1,52049,25219,26830
LA10,4002,2066,1936
LA11,9673,4632,5041
LA12,20194,9925,10269
LA13,18812,9292,9520
LA14,38513,19066,19447
LA15,7827,3863,3964
LA16,3462,1723,1739
LA17,1174,577,597
LA18,9070,4721,4349
LA19,972,475,497
LA2,22304,10853,11451
LA20,1159,581,578
LA21,928,464,464
LA22,4943,2450,2493
LA23,9137,4440,4697
LA3,24447,11912,12535
LA4,26392,12541,13851
LA5,16416,7878,8538
LA6,12506,6009,6497
LA7,5317,2559,2758
LA8,9008,4448,4560
LA9,30399,14745,15654
LE1,13308,6751,6557
LE10,47474,23419,24055
LE11,60367,31285,29082
LE12,62122,30323,31799
LE13,27158,13313,13845
LE14,17321,8523,8798
LE15,32325,16423,15902
LE16,34975,17424,17551
LE17,20648,10324,10324
LE18,32861,16140,16721
LE19,14762,7248,7514
LE2,119026,58534,60492
LE3,100913,49826,51087
LE4,97057,47572,49485
LE5,85435,42239,43196
LE6,12073,5871,6202
LE65,14025,6862,7163
LE67,58904,29074,29830
LE7,44781,21837,22944
LE8,35013,16942,18071
LE9,55247,27089,28158
LN1,28362,13780,14582
LN10,5985,2889,3096
LN11,28222,13698,14524
LN12,13221,6315,6906
LN13,7766,3765,4001
LN2,38637,18928,19709
LN3,8895,4332,4563
LN4,38658,19118,19540
LN5,32187,15950,16237
LN6,58349,28241,30108
LN7,6070,3010,3060
LN8,17283,8491,8792
LN9,9675,4691,4984
LS1,5759,2891,2868
LS10,35534,17265,18269
LS11,34795,17776,17019
LS12,40949,20616,20333
LS13,35021,16988,18033
LS14,34484,16434,18050
LS15,34991,16849,18142
LS16,36457,17624,18833
LS17,43426,20956,22470
LS18,18895,9109,9786
LS19,19835,9600,10235
LS2,10120,5129,4991
LS20,12663,6151,6512
LS21,17729,8619,9110
LS22,15791,7707,8084
LS23,9207,4806,4401
LS24,11849,5808,6041
LS25,39917,19405,20512
LS26,30021,14500,15521
LS27,35695,17356,18339
LS28,37896,18122,19774
LS29,31456,15050,16406
LS3,2876,1466,1410
LS4,9072,4734,4338
LS5,8507,4243,4264
LS6,48277,23803,24474
LS7,28266,13709,14557
LS8,48286,23745,24541
LS9,36406,18295,18111
LU1,43355,22688,20667
LU2,56890,28332,28558
LU3,60550,29987,30563
LU4,52069,25717,26352
LU5,38285,18840,19445
LU6,30833,15173,15660
LU7,53968,26728,27240
M1,12221,6902,5319
M11,20443,10022,10421
M12,16176,8436,7740
M13,23961,12067,11894
M14,52820,26597,26223
M15,22310,12075,10235
M16,35721,17776,17945
M18,23267,11453,11814
M19,34586,17090,17496
M20,48595,24482,24113
M21,29583,14407,15176
M22,42371,20356,22015
M23,30949,15009,15940
M24,46748,22729,24019
M25,31475,15394,16081
M26,34813,17102,17711
M27,42069,20937,21132
M28,39425,19242,20183
M29,22896,11447,11449
M3,11709,6806,4903
M30,35983,17808,18175
M31,8395,3976,4419
M32,28586,14069,14517
M33,60474,29745,30729
M34,46290,22431,23859
M35,20680,9992,10688
M38,12958,6202,6756
M4,10740,6109,4631
M40,40857,20014,20843
M41,41481,20148,21333
M43,23255,11286,11969
M44,19689,9614,10075
M45,22722,10884,11838
M46,22203,11148,11055
M5,15729,7946,7783
M50,3449,1955,1494
M6,31974,16157,15817
M60,1437,1105,332
M7,27746,13747,13999
M8,31098,15905,15193
M9,39518,19282,20236
ME1,31192,15593,15599
ME10,47582,23303,24279
